"movie_year","genre","movies_qty_pro_year"
1940,War,1
1940,Western,2
1941,Adventure,1
1941,Animation,1
1941,Children,1
1941,Comedy,8
1941,Crime,2
1941,Drama,9
1941,Fantasy,2
1941,Film-Noir,3
1941,Horror,2
1941,Musical,2
1941,Mystery,4
1941,Romance,6
1941,Thriller,2
1941,War,1
1942,Action,1
1942,Animation,1
1942,Children,1
1942,Comedy,9
1942,Crime,3
1942,Drama,13
1942,Film-Noir,2
1942,Horror,1
1942,Musical,2
1942,Mystery,2
1942,Romance,10
1942,Thriller,5
1942,War,3
1943,Adventure,1
1943,Crime,2
1943,Drama,8
1943,Fantasy,1
1943,Horror,2
1943,Romance,1
1943,Thriller,2
1943,War,1
1943,Western,1
1944,Action,1
1944,Adventure,2
1944,Children,1
1944,Comedy,4
1944,Crime,2
1944,Drama,11
1944,Film-Noir,2
1944,Musical,2
1944,Mystery,2
1944,Romance,5
1944,Thriller,3
1944,War,4
1945,Animation,1
1945,Children,1
1945,Comedy,2
1945,Crime,3
1945,Drama,7
1945,Fantasy,1
1945,Film-Noir,2
1945,Horror,4
1945,Musical,2
1945,Mystery,6
1945,Romance,2
1945,Thriller,3
1945,War,3
1946,Adventure,1
1946,Animation,1
1946,Children,3
1946,Comedy,1
1946,Crime,5
1946,Drama,14
1946,Fantasy,2
1946,Film-Noir,8
1946,Musical,4
1946,Mystery,4
1946,Romance,5
1946,Thriller,5
1946,War,2
1946,Western,2
1947,Comedy,9
1947,Crime,6
1947,Drama,12
1947,Fantasy,1
1947,Film-Noir,6
1947,Musical,1
1947,Mystery,2
1947,Romance,6
1947,Thriller,2
1948,Action,3
1948,Adventure,4
1948,Children,1
1948,Comedy,3
1948,Crime,4
1948,Drama,15
1948,Fantasy,1
1948,Film-Noir,3
1948,Horror,1
1948,Musical,2
1948,Mystery,1
1948,Romance,3
1948,Thriller,4
1948,War,1
1948,Western,2
1949,Action,1
1949,Adventure,1
1949,Animation,2
1949,Children,2
1949,Comedy,8
1949,Crime,2
1949,Documentary,1
1949,Drama,15
1949,Film-Noir,4
1949,Horror,1
1949,Musical,3
1949,Mystery,2
1949,Romance,7
1949,Thriller,3
1949,War,2
1949,Western,2
1950,Action,1
1950,Adventure,2
1950,Animation,1
1950,Children,2
1950,Comedy,6
1950,Crime,3
1950,Drama,10
1950,Fantasy,2
1950,Film-Noir,4
1950,Musical,2
1950,Mystery,4
1950,Romance,9
1950,Thriller,1
1950,War,1
1950,Western,4
1951,Action,1
1951,Adventure,3
1951,Animation,1
1951,Children,1
1951,Comedy,5
1951,Crime,2
1951,Drama,12
1951,Fantasy,2
1951,Film-Noir,1
1951,Horror,1
1951,Musical,5
1951,Romance,7
1951,Sci-Fi,4
1951,Thriller,2
1951,War,3
1952,Adventure,2
1952,Comedy,7
1952,Drama,9
1952,Musical,1
1952,Romance,6
1952,Sci-Fi,1
1952,War,1
1952,Western,1
1953,Action,3
1953,Adventure,3
1953,Animation,2
1953,Children,3
1953,Comedy,9
1953,Crime,2
1953,Drama,17
1953,Fantasy,2
1953,Film-Noir,1
1953,Horror,1
1953,Musical,6
1953,Mystery,1
1953,Romance,7
1953,Sci-Fi,2
1953,Thriller,5
1953,War,2
1953,Western,2
1954,Action,1
1954,Adventure,3
1954,Animation,1
1954,Comedy,3
1954,Crime,4
1954,Drama,15
1954,Fantasy,1
1954,Film-Noir,1
1954,Horror,3
1954,Musical,4
1954,Mystery,2
1954,Romance,4
1954,Sci-Fi,4
1954,Thriller,4
1954,War,1
1954,Western,1
1955,Action,1
1955,Adventure,1
1955,Animation,1
1955,Children,1
1955,Comedy,8
1955,Crime,8
1955,Documentary,1
1955,Drama,21
1955,Film-Noir,4
1955,Horror,2
1955,Musical,2
1955,Mystery,4
1955,Romance,8
1955,Sci-Fi,2
1955,Thriller,6
1955,War,4
1955,Western,3
1956,Adventure,5
1956,Children,1
1956,Comedy,4
1956,Crime,2
1956,Drama,18
1956,Fantasy,1
1956,Film-Noir,4
1956,Horror,4
1956,Musical,4
1956,Mystery,1
1956,Romance,4
1956,Sci-Fi,6
1956,Thriller,4
1956,War,1
1956,Western,4
1957,Action,2
1957,Adventure,2
1957,Children,1
1957,Comedy,8
1957,Drama,18
1957,Film-Noir,1
1957,Horror,3
1957,Musical,3
1957,Mystery,1
1957,(no genres listed),1
1957,Romance,6
1957,Sci-Fi,5
1957,Thriller,4
1957,War,4
1957,Western,1
1958,Action,3
1958,Adventure,4
1958,Comedy,10
1958,Crime,5
1958,Drama,11
1958,Fantasy,2
1958,Film-Noir,1
1958,Horror,4
1958,Musical,3
1958,Mystery,2
1958,Romance,7
1958,Sci-Fi,4
1958,Thriller,4
1958,War,3
1958,Western,1
1959,Action,3
1959,Adventure,5
1959,Animation,1
1959,Children,4
1959,Comedy,7
1959,Crime,3
1959,Drama,15
1959,Fantasy,1
1959,Horror,7
1959,Musical,2
1959,Mystery,2
1959,Romance,6
1959,Sci-Fi,7
1959,Thriller,2
1959,War,8
1959,Western,2
1960,Action,4
1960,Adventure,3
1960,Children,4
1960,Comedy,7
1960,Crime,7
1960,Drama,19
1960,Fantasy,1
1960,Film-Noir,1
1960,Horror,8
1960,Musical,2
1960,Mystery,2
1960,Romance,6
1960,Sci-Fi,4
1960,Thriller,3
1960,War,4
1960,Western,3
1961,Action,3
1961,Adventure,6
1961,Animation,1
1961,Children,4
1961,Comedy,12
1961,Crime,1
1961,Drama,18
1961,Fantasy,3
1961,Horror,3
1961,Musical,3
1961,Romance,10
1961,Sci-Fi,3
1961,Thriller,1
1961,War,3
1961,Western,2
1962,Action,4
1962,Adventure,7
1962,Children,2
1962,Comedy,7
1962,Crime,4
1962,Documentary,1
1962,Drama,24
1962,Fantasy,3
1962,Horror,4
1962,Musical,3
1962,Mystery,1
1962,Romance,7
1962,Sci-Fi,3
1962,Thriller,5
1962,War,4
1962,Western,3
1963,Action,5
1963,Adventure,9
1963,Animation,1
1963,Children,3
1963,Comedy,15
1963,Crime,6
1963,Drama,15
1963,Fantasy,3
1963,Film-Noir,1
1963,Horror,6
1963,Musical,1
1963,Mystery,2
1963,Romance,3
1963,Sci-Fi,4
1963,Thriller,7
1963,War,4
1963,Western,1
1964,Action,6
1964,Adventure,6
1964,Animation,3
1964,Children,2
1964,Comedy,17
1964,Crime,2
1964,Documentary,1
1964,Drama,17
1964,Fantasy,5
1964,Horror,5
1964,Musical,6
1964,Mystery,3
1964,Romance,7
1964,Sci-Fi,3
1964,Thriller,7
1964,War,7
1964,Western,2
1965,Action,9
1965,Adventure,9
1965,Animation,3
1965,Children,4
1965,Comedy,17
1965,Crime,4
1965,Drama,24
1965,Fantasy,2
1965,Horror,3
1965,Musical,4
1965,Mystery,4
1965,Romance,9
1965,Sci-Fi,4
1965,Thriller,9
1965,War,4
1965,Western,4
1966,Action,4
1966,Adventure,5
1966,Animation,3
1966,Children,3
1966,Comedy,19
1966,Crime,6
1966,Documentary,1
1966,Drama,18
1966,Fantasy,1
1966,Horror,1
1966,Musical,3
1966,Mystery,2
1966,Romance,7
1966,Sci-Fi,3
1966,Thriller,3
1966,War,6
1966,Western,3
1967,Action,8
1967,Adventure,5
1967,Animation,1
1967,Children,4
1967,Comedy,14
1967,Crime,6
1967,Documentary,2
1967,Drama,23
1967,Fantasy,1
1967,Horror,4
1967,Musical,5
1967,Mystery,3
1967,Romance,3
1967,Sci-Fi,3
1967,Thriller,5
1967,War,1
1967,Western,1
1968,Action,7
1968,Adventure,9
1968,Animation,7
1968,Children,8
1968,Comedy,13
1968,Crime,4
1968,Documentary,3
1968,Drama,17
1968,Fantasy,2
1968,Horror,5
1968,Musical,8
1968,Mystery,2
1968,(no genres listed),1
1968,Romance,4
1968,Sci-Fi,7
1968,Thriller,5
1968,War,3
1968,Western,3
1969,Action,6
1969,Adventure,6
1969,Animation,5
1969,Children,6
1969,Comedy,11
1969,Crime,3
1969,Drama,17
1969,Fantasy,4
1969,Horror,1
1969,Musical,4
1969,Mystery,1
1969,Romance,4
1969,Sci-Fi,1
1969,Thriller,4
1969,War,4
1969,Western,6
1970,Action,5
1970,Adventure,3
1970,Animation,3
1970,Children,4
1970,Comedy,10
1970,Crime,4
1970,Drama,18
1970,Fantasy,3
1970,Horror,2
1970,Musical,1
1970,Mystery,2
1970,Romance,4
1970,Sci-Fi,1
1970,Thriller,5
1970,War,7
1970,Western,3
1971,Action,17
1971,Adventure,6
1971,Animation,2
1971,Children,3
1971,Comedy,12
1971,Crime,8
1971,Documentary,1
1971,Drama,20
1971,Fantasy,1
1971,Horror,1
1971,Musical,3
1971,Mystery,6
1971,Romance,3
1971,Sci-Fi,5
1971,Thriller,13
1971,War,2
1971,Western,3
1972,Action,6
1972,Adventure,5
1972,Animation,1
1972,Children,1
1972,Comedy,15
1972,Crime,5
1972,Drama,22
1972,Fantasy,1
1972,Horror,4
1972,Musical,2
1972,Mystery,3
1972,Romance,4
1972,Sci-Fi,6
1972,Thriller,7
1972,War,1
1972,Western,2
1973,Action,13
1973,Adventure,7
1973,Animation,5
1973,Children,3
1973,Comedy,13
1973,Crime,17
1973,Drama,29
1973,Fantasy,2
1973,Film-Noir,1
1973,Horror,10
1973,Musical,2
1973,Mystery,3
1973,Romance,3
1973,Sci-Fi,10
1973,Thriller,14
1973,War,1
1973,Western,3
1974,Action,11
1974,Adventure,5
1974,Animation,1
1974,Children,3
1974,Comedy,13
1974,Crime,10
1974,Documentary,2
1974,Drama,20
1974,Fantasy,3
1974,Film-Noir,1
1974,Horror,6
1974,Musical,1
1974,Mystery,4
1974,Romance,6
1974,Sci-Fi,2
1974,Thriller,12
1974,Western,1
1975,Action,7
1975,Adventure,7
1975,Animation,1
1975,Children,2
1975,Comedy,12
1975,Crime,5
1975,Documentary,1
1975,Drama,19
1975,Fantasy,2
1975,Horror,5
1975,Musical,3
1975,Mystery,4
1975,Romance,7
1975,Sci-Fi,7
1975,Thriller,5
1975,War,1
1975,Western,1
1976,Action,7
1976,Adventure,8
1976,Animation,1
1976,Children,3
1976,Comedy,16
1976,Crime,8
1976,Documentary,1
1976,Drama,21
1976,Fantasy,3
1976,Horror,5
1976,Musical,1
1976,Mystery,6
1976,Romance,4
1976,Sci-Fi,4
1976,Thriller,15
1976,War,3
1976,Western,2
1977,Action,9
1977,Adventure,12
1977,Animation,6
1977,Children,8
1977,Comedy,21
1977,Crime,4
1977,Documentary,2
1977,Drama,27
1977,Fantasy,9
1977,Horror,8
1977,Musical,4
1977,Mystery,3
1977,(no genres listed),1
1977,Romance,6
1977,Sci-Fi,4
1977,Thriller,7
1977,War,6
1977,Western,1
1978,Action,15
1978,Adventure,8
1978,Animation,3
1978,Children,6
1978,Comedy,19
1978,Crime,4
1978,Documentary,4
1978,Drama,17
1978,Fantasy,5
1978,Horror,12
1978,Musical,2
1978,Mystery,4
1978,Romance,2
1978,Sci-Fi,8
1978,Thriller,7
1978,War,4
1978,Western,1
1979,Action,13
1979,Adventure,10
1979,Animation,3
1979,Children,5
1979,Comedy,24
1979,Crime,5
1979,Drama,32
1979,Fantasy,2
1979,Horror,10
1979,Musical,4
1979,Mystery,3
1979,Romance,5
1979,Sci-Fi,12
1979,Thriller,10
1979,War,3
1979,Western,2
1980,Action,18
1980,Adventure,12
1980,Animation,1
1980,Children,2
1980,Comedy,29
1980,Crime,5
1980,Documentary,1
1980,Drama,32
1980,Fantasy,2
1980,Horror,18
1980,Musical,4
1980,Mystery,6
1980,(no genres listed),1
1980,Romance,10
1980,Sci-Fi,14
1980,Thriller,10
1980,War,3
1980,Western,1
1981,Action,20
1981,Adventure,15
1981,Animation,5
1981,Children,3
1981,Comedy,32
1981,Crime,7
1981,Documentary,2
1981,Drama,31
1981,Fantasy,8
1981,Horror,16
1981,Musical,3
1981,Mystery,7
1981,Romance,9
1981,Sci-Fi,12
1981,Thriller,19
1981,War,5
1982,Action,14
1982,Adventure,10
1982,Animation,6
1982,Children,6
1982,Comedy,32
1982,Crime,5
1982,Documentary,5
1982,Drama,29
1982,Fantasy,7
1982,Horror,15
1982,Musical,8
1982,Mystery,6
1982,Romance,12
1982,Sci-Fi,11
1982,Thriller,13
1982,War,3
1982,Western,1
1983,Action,15
1983,Adventure,9
1983,Animation,5
1983,Children,5
1983,Comedy,31
1983,Crime,8
1983,Documentary,5
1983,Drama,29
1983,Fantasy,7
1983,Horror,13
1983,Musical,3
1983,Mystery,4
1983,Romance,7
1983,Sci-Fi,10
1983,Thriller,13
1983,War,2
1983,Western,1
1984,Action,17
1984,Adventure,18
1984,Animation,4
1984,Children,5
1984,Comedy,40
1984,Crime,7
1984,Documentary,2
1984,Drama,35
1984,Fantasy,11
1984,Film-Noir,1
1984,Horror,12
1984,Musical,7
1984,Mystery,2
1984,Romance,12
1984,Sci-Fi,18
1984,Thriller,13
1984,War,5
1985,Action,23
1985,Adventure,31
1985,Animation,4
1985,Children,11
1985,Comedy,54
1985,Crime,11
1985,Documentary,4
1985,Drama,45
1985,Fantasy,16
1985,Horror,16
1985,Musical,1
1985,Mystery,7
1985,Romance,22
1985,Sci-Fi,18
1985,Thriller,18
1985,War,5
1985,Western,2
1986,Action,27
1986,Adventure,24
1986,Animation,9
1986,Children,10
1986,Comedy,54
1986,Crime,19
1986,Drama,55
1986,Fantasy,10
1986,Film-Noir,1
1986,Horror,23
1986,Musical,4
1986,Mystery,7
1986,Romance,15
1986,Sci-Fi,19
1986,Thriller,21
1986,War,4
1986,Western,1
1987,Action,31
1987,Adventure,17
1987,Animation,9
1987,Children,8
1987,Comedy,77
1987,Crime,21
1987,Documentary,1
1987,Drama,56
1987,Fantasy,16
1987,Film-Noir,2
1987,Horror,28
1987,Musical,2
1987,Mystery,7
1987,Romance,28
1987,Sci-Fi,20
1987,Thriller,24
1987,War,8
1987,Western,3
1988,Action,29
1988,Adventure,18
1988,Animation,11
1988,Children,10
1988,Comedy,72
1988,Crime,19
1988,Documentary,4
1988,Drama,67
1988,Fantasy,16
1988,Film-Noir,1
1988,Horror,24
1988,Musical,6
1988,Mystery,10
1988,Romance,23
1988,Sci-Fi,17
1988,Thriller,29
1988,War,7
1988,Western,2
1989,Action,33
1989,Adventure,16
1989,Animation,9
1989,Children,9
1989,Comedy,71
1989,Crime,22
1989,Documentary,2
1989,Drama,60
1989,Fantasy,13
1989,Film-Noir,1
1989,Horror,11
1989,Musical,3
1989,Mystery,6
1989,Romance,16
1989,Sci-Fi,17
1989,Thriller,20
1989,War,5
1989,Western,1
1990,Action,35
1990,Adventure,20
1990,Animation,6
1990,Children,8
1990,Comedy,59
1990,Crime,24
1990,Documentary,2
1990,Drama,62
1990,Fantasy,15
1990,Film-Noir,2
1990,Horror,23
1990,Musical,3
1990,Mystery,6
1990,(no genres listed),1
1990,Romance,26
1990,Sci-Fi,17
1990,Thriller,32
1990,War,8
1990,Western,4
1991,Action,26
1991,Adventure,18
1991,Animation,6
1991,Children,7
1991,Comedy,69
1991,Crime,17
1991,Documentary,4
1991,Drama,63
1991,Fantasy,14
1991,Horror,9
1991,IMAX,1
1991,Musical,7
1991,Mystery,10
1991,Romance,31
1991,Sci-Fi,13
1991,Thriller,22
1991,War,1
1991,Western,2
1992,Action,31
1992,Adventure,12
1992,Animation,8
1992,Children,13
1992,Comedy,69
1992,Crime,23
1992,Documentary,6
1992,Drama,78
1992,Fantasy,9
1992,Film-Noir,2
1992,Horror,13
1992,IMAX,1
1992,Musical,5
1992,Mystery,5
1992,(no genres listed),1
1992,Romance,36
1992,Sci-Fi,10
1992,Thriller,32
1992,War,4
1992,Western,3
1993,Action,43
1993,Adventure,19
1993,Animation,9
1993,Children,17
1993,Comedy,77
1993,Crime,20
1993,Documentary,3
1993,Drama,99
1993,Fantasy,15
1993,Film-Noir,1
1993,Horror,12
1993,Musical,4
1993,Mystery,12
1993,Romance,33
1993,Sci-Fi,14
1993,Thriller,32
1993,War,5
1993,Western,3
1994,Action,40
1994,Adventure,30
1994,Animation,12
1994,Children,24
1994,Comedy,111
1994,Crime,27
1994,Documentary,7
1994,Drama,114
1994,Fantasy,16
1994,Film-Noir,1
1994,Horror,15
1994,IMAX,2
1994,Musical,3
1994,Mystery,8
1994,Romance,41
1994,Sci-Fi,11
1994,Thriller,35
1994,War,6
1994,Western,7
1995,Action,44
1995,Adventure,29
1995,Animation,13
1995,Children,29
1995,Comedy,91
1995,Crime,33
1995,Documentary,6
1995,Drama,123
1995,Fantasy,16
1995,Film-Noir,1
1995,Horror,19
1995,IMAX,1
1995,Musical,4
1995,Mystery,18
1995,(no genres listed),2
1995,Romance,49
1995,Sci-Fi,20
1995,Thriller,42
1995,War,14
1995,Western,6
1996,Action,41
1996,Adventure,35
1996,Animation,9
1996,Children,23
1996,Comedy,108
1996,Crime,32
1996,Documentary,12
1996,Drama,128
1996,Fantasy,13
1996,Film-Noir,1
1996,Horror,15
1996,Musical,9
1996,Mystery,10
1996,(no genres listed),1
1996,Romance,53
1996,Sci-Fi,21
1996,Thriller,61
1996,War,3
1996,Western,1
1997,Action,51
1997,Adventure,26
1997,Animation,11
1997,Children,25
1997,Comedy,94
1997,Crime,33
1997,Documentary,8
1997,Drama,125
1997,Fantasy,15
1997,Film-Noir,4
1997,Horror,18
1997,IMAX,1
1997,Musical,6
1997,Mystery,21
1997,Romance,51
1997,Sci-Fi,22
1997,Thriller,64
1997,War,7
1998,Action,47
1998,Adventure,31
1998,Animation,18
1998,Children,24
1998,Comedy,99
1998,Crime,36
1998,Documentary,12
1998,Drama,122
1998,Fantasy,19
1998,Film-Noir,1
1998,Horror,14
1998,IMAX,3
1998,Musical,8
1998,Mystery,11
1998,Romance,56
1998,Sci-Fi,28
1998,Thriller,52
1998,War,8
1998,Western,2
1999,Action,34
1999,Adventure,19
1999,Animation,8
1999,Children,13
1999,Comedy,113
1999,Crime,19
1999,Documentary,13
1999,Drama,124
1999,Fantasy,17
1999,Horror,22
1999,IMAX,1
1999,Musical,4
1999,Mystery,14
1999,Romance,46
1999,Sci-Fi,17
1999,Thriller,48
1999,War,4
1999,Western,2
2000,Action,39
2000,Adventure,23
2000,Animation,18
2000,Children,17
2000,Comedy,117
2000,Crime,39
2000,Documentary,14
2000,Drama,138
2000,Fantasy,18
2000,Horror,23
2000,IMAX,1
2000,Musical,4
2000,Mystery,8
2000,Romance,57
2000,Sci-Fi,19
2000,Thriller,59
2000,War,7
2000,Western,3
2001,Action,48
2001,Adventure,26
2001,Animation,17
2001,Children,12
2001,Comedy,127
2001,Crime,36
2001,Documentary,12
2001,Drama,148
2001,Fantasy,20
2001,Film-Noir,1
2001,Horror,19
2001,Musical,7
2001,Mystery,19
2001,Romance,66
2001,Sci-Fi,17
2001,Thriller,53
2001,War,13
2001,Western,3
2002,Action,45
2002,Adventure,37
2002,Animation,13
2002,Children,19
2002,Comedy,116
2002,Crime,49
2002,Documentary,28
2002,Drama,150
2002,Fantasy,20
2002,Horror,27
2002,IMAX,2
2002,Musical,11
2002,Mystery,21
2002,Romance,58
2002,Sci-Fi,27
2002,Thriller,72
2002,War,8
2002,Western,2
2003,Action,66
2003,Adventure,32
2003,Animation,20
2003,Children,23
2003,Comedy,109
2003,Crime,48
2003,Documentary,22
2003,Drama,129
2003,Fantasy,18
2003,Horror,25
2003,IMAX,3
2003,Musical,7
2003,Mystery,21
2003,Romance,51
2003,Sci-Fi,23
2003,Thriller,60
2003,War,11
2003,Western,2
2004,Action,63
2004,Adventure,44
2004,Animation,18
2004,Children,19
2004,Comedy,111
2004,Crime,36
2004,Documentary,25
2004,Drama,128
2004,Fantasy,29
2004,Horror,28
2004,IMAX,3
2004,Musical,8
2004,Mystery,19
2004,Romance,52
2004,Sci-Fi,31
2004,Thriller,57
2004,War,13
2004,Western,3
2005,Action,59
2005,Adventure,43
2005,Animation,15
2005,Children,25
2005,Comedy,120
2005,Crime,42
2005,Documentary,24
2005,Drama,140
2005,Fantasy,22
2005,Film-Noir,3
2005,Horror,36
2005,IMAX,4
2005,Musical,8
2005,Mystery,17
2005,Romance,50
2005,Sci-Fi,19
2005,Thriller,68
2005,War,12
2005,Western,2
2006,Action,49
2006,Adventure,38
2006,Animation,26
2006,Children,22
2006,Comedy,118
2006,Crime,35
2006,Documentary,23
2006,Drama,146
2006,Fantasy,38
2006,Film-Noir,1
2006,Horror,33
2006,IMAX,7
2006,Musical,6
2006,Mystery,25
2006,Romance,54
2006,Sci-Fi,25
2006,Thriller,76
2006,War,10
2006,Western,1
2007,Action,48
2007,Adventure,33
2007,Animation,22
2007,Children,14
2007,Comedy,102
2007,Crime,40
2007,Documentary,18
2007,Drama,142
2007,Fantasy,24
2007,Horror,43
2007,IMAX,6
2007,Musical,9
2007,Mystery,14
2007,Romance,47
2007,Sci-Fi,29
2007,Thriller,77
2007,War,13
2007,Western,3
2008,Action,73
2008,Adventure,50
2008,Animation,23
2008,Children,22
2008,Comedy,104
2008,Crime,40
2008,Documentary,20
2008,Drama,113
2008,Fantasy,31
2008,Horror,23
2008,IMAX,8
2008,Musical,9
2008,Mystery,15
2008,Romance,47
2008,Sci-Fi,32
2008,Thriller,60
2008,War,16
2008,Western,5
2009,Action,59
2009,Adventure,37
2009,Animation,32
2009,Children,17
2009,Comedy,111
2009,Crime,39
2009,Documentary,12
2009,Drama,131
2009,Fantasy,32
2009,Film-Noir,1
2009,Horror,41
2009,IMAX,10
2009,Musical,7
2009,Mystery,24
2009,Romance,41
2009,Sci-Fi,44
2009,Thriller,72
2009,War,7
2009,Western,2
2010,Action,65
2010,Adventure,30
2010,Animation,18
2010,Children,17
2010,Comedy,97
2010,Crime,23
2010,Documentary,17
2010,Drama,102
2010,Fantasy,29
2010,Film-Noir,1
2010,Horror,24
2010,IMAX,15
2010,Musical,6
2010,Mystery,16
2010,Romance,41
2010,Sci-Fi,19
2010,Thriller,56
2010,War,7
2010,Western,5
2011,Action,55
2011,Adventure,40
2011,Animation,26
2011,Children,19
2011,Comedy,101
2011,Crime,26
2011,Documentary,22
2011,Drama,110
2011,Fantasy,19
2011,Film-Noir,2
2011,Horror,20
2011,IMAX,20
2011,Musical,3
2011,Mystery,16
2011,Romance,37
2011,Sci-Fi,32
2011,Thriller,64
2011,War,6
2011,Western,2
2012,Action,56
2012,Adventure,31
2012,Animation,25
2012,Children,10
2012,Comedy,103
2012,Crime,32
2012,Documentary,11
2012,Drama,92
2012,Fantasy,23
2012,Film-Noir,1
2012,Horror,27
2012,IMAX,25
2012,Musical,7
2012,Mystery,9
2012,Romance,31
2012,Sci-Fi,28
2012,Thriller,54
2012,War,5
2012,Western,1
2013,Action,61
2013,Adventure,39
2013,Animation,26
2013,Children,8
2013,Comedy,89
2013,Crime,35
2013,Documentary,8
2013,Drama,98
2013,Fantasy,28
2013,Horror,22
2013,IMAX,29
2013,Musical,1
2013,Mystery,14
2013,(no genres listed),2
2013,Romance,27
2013,Sci-Fi,32
2013,Thriller,50
2013,War,6
2013,Western,1
2014,Action,62
2014,Adventure,35
2014,Animation,15
2014,Children,15
2014,Comedy,116
2014,Crime,38
2014,Documentary,17
2014,Drama,117
2014,Fantasy,15
2014,Horror,28
2014,IMAX,14
2014,Musical,5
2014,Mystery,16
2014,Romance,35
2014,Sci-Fi,32
2014,Thriller,60
2014,War,8
2014,Western,3
2015,Action,63
2015,Adventure,45
2015,Animation,19
2015,Children,14
2015,Comedy,104
2015,Crime,30
2015,Documentary,19
2015,Drama,101
2015,Fantasy,21
2015,Horror,36
2015,IMAX,1
2015,Musical,1
2015,Mystery,16
2015,(no genres listed),3
2015,Romance,21
2015,Sci-Fi,41
2015,Thriller,57
2015,War,2
2015,Western,4
2016,Action,48
2016,Adventure,36
2016,Animation,22
2016,Children,13
2016,Comedy,75
2016,Crime,15
2016,Documentary,13
2016,Drama,69
2016,Fantasy,22
2016,Horror,16
2016,Mystery,8
2016,(no genres listed),7
2016,Romance,18
2016,Sci-Fi,29
2016,Thriller,41
2016,War,3
2016,Western,1
2017,Action,38
2017,Adventure,24
2017,Animation,18
2017,Children,9
2017,Comedy,56
2017,Crime,13
2017,Documentary,10
